,EPSA1 & EPSA2,EPSA2 Heaters,EPSA3,OBC,COMMS S-BAND,COMMS x-BAND,ADCS,PDPU,ASTROPAYLOAD,ISL
Mode 1,Nominal,ON,ON,HOUSEKEEPING,OFF,OFF,LAW 1 (Detumbling),OFF,OFF,OFF
Mode 2,Nominal,ON,IDLE,High-Speed (x1 ETH),RX,OFF,LAW 2 (Yaw Steering Observation),OFF,OFF,OFF
